Current learning rate: 0.001
Epoch: [1][140/383]	Loss 1.6499 (1.6931)	Accuracy 32.812 (33.982)
Epoch: [1][150/383]	Loss 1.6491 (1.6939)	Accuracy 35.156 (33.977)
Epoch: [1][160/383]	Loss 1.6868 (1.6946)	Accuracy 27.344 (33.885)
Epoch: [1][170/383]	Loss 1.6516 (1.6942)	Accuracy 35.938 (33.836)
Epoch: [1][180/383]	Loss 1.6520 (1.6929)	Accuracy 40.625 (33.892)
Epoch: [1][190/383]	Loss 1.5595 (1.6904)	Accuracy 40.625 (34.068)
Epoch: [1][200/383]	Loss 1.7465 (1.6866)	Accuracy 31.250 (34.282)
Epoch: [1][210/383]	Loss 1.6852 (1.6833)	Accuracy 36.719 (34.449)
Epoch: [1][220/383]	Loss 1.5488 (1.6807)	Accuracy 41.406 (34.580)
Epoch: [1][230/383]	Loss 1.6746 (1.6773)	Accuracy 28.125 (34.646)
Epoch: [1][240/383]	Loss 1.6793 (1.6753)	Accuracy 36.719 (34.719)
Epoch: [1][250/383]	Loss 1.6057 (1.6726)	Accuracy 41.406 (34.929)
Epoch: [1][260/383]	Loss 1.7352 (1.6719)	Accuracy 32.812 (34.986)
Epoch: [1][270/383]	Loss 1.6336 (1.6697)	Accuracy 38.281 (35.027)
Epoch: [1][280/383]	Loss 1.6979 (1.6685)	Accuracy 34.375 (35.084)
Epoch: [1][290/383]	Loss 1.5978 (1.6668)	Accuracy 40.625 (35.132)
Epoch: [1][300/383]	Loss 1.5803 (1.6654)	Accuracy 40.625 (35.174)
Epoch: [1][310/383]	Loss 1.6448 (1.6639)	Accuracy 37.500 (35.209)
Epoch: [1][320/383]	Loss 1.5523 (1.6627)	Accuracy 42.969 (35.310)
Epoch: [1][330/383]	Loss 1.6272 (1.6617)	Accuracy 41.406 (35.355)
Epoch: [1][340/383]	Loss 1.5842 (1.6600)	Accuracy 37.500 (35.413)
Epoch: [1][350/383]	Loss 1.5129 (1.6571)	Accuracy 44.531 (35.570)
Epoch: [1][360/383]	Loss 1.6672 (1.6559)	Accuracy 34.375 (35.635)
Epoch: [1][370/383]	Loss 1.5993 (1.6542)	Accuracy 35.938 (35.708)
Epoch: [1][380/383]	Loss 1.5129 (1.6513)	Accuracy 40.625 (35.888)
Test: [  0/164]	Loss 1.9194 (1.9194)	Accuracy 11.719 (11.719)
Test: [ 10/164]	Loss 1.5380 (1.6338)	Accuracy 41.406 (34.091)
Test: [ 20/164]	Loss 2.1334 (1.7353)	Accuracy  5.469 (30.171)
Test: [ 30/164]	Loss 2.2007 (1.8037)	Accuracy 12.500 (26.436)
Test: [ 40/164]	Loss 1.3025 (1.7177)	Accuracy 54.688 (32.298)
Test: [ 50/164]	Loss 1.8592 (1.7020)	Accuracy 22.656 (33.931)
Test: [ 60/164]	Loss 1.9339 (1.7309)	Accuracy 24.219 (32.313)
Test: [ 70/164]	Loss 1.2700 (1.7090)	Accuracy 53.906 (33.330)
Test: [ 80/164]	Loss 1.9010 (1.6680)	Accuracy 18.750 (35.156)
Test: [ 90/164]	Loss 2.0367 (1.7118)	Accuracy 11.719 (32.950)
Test: [100/164]	Loss 0.4401 (1.6439)	Accuracy 82.031 (35.961)
Test: [110/164]	Loss 0.7107 (1.5677)	Accuracy 84.375 (39.710)
Test: [120/164]	Loss 1.5575 (1.5266)	Accuracy 59.375 (42.194)
Test: [130/164]	Loss 1.6975 (1.5404)	Accuracy 39.844 (42.313)
Test: [140/164]	Loss 1.5057 (1.5478)	Accuracy 46.875 (42.487)
Test: [150/164]	Loss 1.7145 (1.5541)	Accuracy 24.219 (41.520)
Test: [160/164]	Loss 2.1550 (1.5791)	Accuracy 17.188 (40.242)
 * Accuracy 39.739
Current best accuracy: 39.73894500732422
461.6456892490387
Current learning rate: 0.001
Epoch: [2][  0/383]	Loss 1.5319 (1.5319)	Accuracy 39.062 (39.062)
Epoch: [2][ 10/383]	Loss 1.4688 (1.5464)	Accuracy 45.312 (41.619)
Epoch: [2][ 20/383]	Loss 1.5354 (1.5388)	Accuracy 41.406 (41.629)
Epoch: [2][ 30/383]	Loss 1.5985 (1.5241)	Accuracy 39.062 (42.213)
Epoch: [2][ 40/383]	Loss 1.6431 (1.5312)	Accuracy 32.031 (41.730)
Epoch: [2][ 50/383]	Loss 1.4298 (1.5290)	Accuracy 42.188 (41.912)
Epoch: [2][ 60/383]	Loss 1.4758 (1.5220)	Accuracy 43.750 (42.136)
Epoch: [2][ 70/383]	Loss 1.4880 (1.5166)	Accuracy 43.750 (42.474)
Epoch: [2][ 80/383]	Loss 1.5269 (1.5135)	Accuracy 39.062 (42.622)
Epoch: [2][ 90/383]	Loss 1.4166 (1.5079)	Accuracy 45.312 (42.703)
Epoch: [2][100/383]	Loss 1.6461 (1.5076)	Accuracy 38.281 (42.683)
Epoch: [2][110/383]	Loss 1.6169 (1.5101)	Accuracy 36.719 (42.483)
Epoch: [2][120/383]	Loss 1.5953 (1.5096)	Accuracy 42.969 (42.472)
Epoch: [2][130/383]	Loss 1.6039 (1.5113)	Accuracy 38.281 (42.516)
Epoch: [2][140/383]	Loss 1.6013 (1.5111)	Accuracy 35.938 (42.531)
Epoch: [2][150/383]	Loss 1.5800 (1.5107)	Accuracy 39.062 (42.622)
Epoch: [2][160/383]	Loss 1.4163 (1.5082)	Accuracy 47.656 (42.712)
Epoch: [2][170/383]	Loss 1.4722 (1.5066)	Accuracy 41.406 (42.813)
Epoch: [2][180/383]	Loss 1.5220 (1.5059)	Accuracy 43.750 (42.930)
Epoch: [2][190/383]	Loss 1.6462 (1.5065)	Accuracy 42.188 (42.920)
Epoch: [2][200/383]	Loss 1.4705 (1.5061)	Accuracy 43.750 (42.918)
Epoch: [2][210/383]	Loss 1.4954 (1.5045)	Accuracy 44.531 (43.009)
Epoch: [2][220/383]	Loss 1.5511 (1.5019)	Accuracy 35.938 (43.124)
Epoch: [2][230/383]	Loss 1.4233 (1.5000)	Accuracy 42.188 (43.138)
